genus,species,infrarank,infraspecies,symbol,stz,ind_stz,contract
Bouteloua,gracilis,,,BOGR2,Desert SW provisional,20,EASTERN MOJAVE
Chaenactis,fremontii,,,CHFR,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Chilopsis,linearis,,,CHLI2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Chylismia,brevipes,,,CABR23,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Chylismia,claviformis,,,CACL4,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Coleogyne,ramosissima,,,CORA,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Cryptantha,micrantha,,,CRMI,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Cryptantha,nevadensis,,,CRNE2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Dasyochloa,pulchella,,,DAPU7,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Descurainia,pinnata,,,DEPI,Desert SW provisional,20,EASTERN MOJAVE
Echinocereus,engelmannii,,,ECEN,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Elymus,elymoides,,,ELEL5,Desert SW provisional,20,EASTERN MOJAVE
Encelia,actoni,,,ENAC,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Encelia,farinosa,,,ENFA,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Encelia,virginensis,,,ENVI,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Ephedra,nevadensis,,,EPNE,Desert SW provisional,20,EASTERN MOJAVE
Eremothera,refracta,,,CARE2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Ericameria,cooperi,,,ERCO23,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Ericameria,laricifolia,,,ERLA12,Desert SW provisional,20,EASTERN MOJAVE
Eriogonum,fasciculatum,,,ERFA2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Eriogonum,inflatum,,,ERIN4,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Euphorbia,albomarginata,,,EUAL4,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Euphorbia,micromera,,,EUMI3,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Euphorbia,polycarpa,,,EUPO3,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Fraxinus,anomala,,,FRAN2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Fraxinus,velutina,,,FRVE2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Gutierrezia,microcephala,,,GUMI,Desert SW provisional,20,EASTERN MOJAVE
Pleuraphis,jamesii,,,PLJA,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Hilaria,rigida,,,HIRI,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Krameria,bicolor,,,KRGR,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Krameria,erecta,,,KRER,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Krascheninnikovia,lanata,,,KRLA2,Desert SW provisional,20,EASTERN MOJAVE
Larrea,tridentata,,,LATR2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lepidium,fremontii,,,LEFR2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lepidium,lasiocarpum,,,LELA,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lomatium,parryi,,,LOPA,Desert SW provisional,20,EASTERN MOJAVE
Lupinus,arizonicus,,,LUAR4,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lupinus,odoratus,,,LUOD,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lycium,andersonii,,,LYAN,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lycium,cooperi,,,LYCO2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Lycium,pallidum,,,LYPA,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Malacothrix,glabrata,,,MAGL3,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Menodora,spinescens,,,MESP2,Desert SW provisional,20,EASTERN MOJAVE
Mentzelia,affinis,,,MEAF2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Mirabilis,laevis,,,MILA6,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Muhlenbergia,porteri,,,MUPO2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Nicotiana,attenuata,,,NIAT,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Oenothera,caespitosa,,,OECA10,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Oenothera,deltoides,,,OEDE2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Oenothera,primiveris,,,OEPR,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Opuntia,basilaris,,,OPBA2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Oxystylis,lutea,,,OXLU,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Pectis,papposa,,,PEPA2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Penstemon,palmeri,,,PEPA8,Desert SW provisional,20,EASTERN MOJAVE
Peritoma,arborea,,,CLIS,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Phacelia,crenulata,,,PHCR,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Phacelia,distans,,,PHDI,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Phacelia,fremontii,,,PHFR2,Desert SW provisional,20,EASTERN MOJAVE
Picrothamnus,desertorum,,,PIDE4,Desert SW provisional,20,EASTERN MOJAVE
Plantago,ovata,,,PLOV,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Prosopis,glandulosa,,,PRGL2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Prosopis,pubescens,,,PRPU,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Psorothamnus,fremontii,,,PSFR,Desert SW provisional,20,EASTERN MOJAVE
Purshia,glandulosa,,,PUGL2,Desert SW provisional,20,EASTERN MOJAVE
Salazaria,mexicana,,,SAME,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Salvia,columbariae,,,SACO6,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Senna,armata,,,SEAR8,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Sphaeralcea,ambigua,,,SPAM2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Sphaeralcea,angustifolia,,,SPAN3,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Stephanomeria,exigua,,,STEX,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Stephanomeria,parryi,,,STPA3,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Stephanomeria,pauciflora,,,SPTA4,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Vulpia,octoflora,,,VUOC,Desert SW provisional,20,EASTERN MOJAVE
Xylorhiza,tortifolia,,,XYTO2,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Yucca,jaegeriana,,,YUBRJ,Desert SW provisional,"14, 18, 20, 21, 25, 30, 32, 33",EASTERN MOJAVE
Yucca,schidigera,,,YUSC2,Desert SW provisional,20,EASTERN MOJAVE
Abronia,villosa,,,ABVI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Achnatherum,hymenoides,,,ACHY,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Achnatherum,speciosum,,,ACSP,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Acmispon,humistratus,,,LOHU2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Acmispon,rigidus,,,LORI3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Acmispon,strigosus,,,LOST4,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Amaranthus,fimbriatus,,,AMFI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Ambrosia,dumosa,,,AMDU2,Desert SW provisional,"20, 21, 23, 25, 27, 28, 32, 34, 35",SNDO
Ambrosia,salsola,,,HYSAF,Desert SW provisional,"20, 21, 23, 25, 27, 28, 32, 34, 35",SNDO
Amsinckia,tessellata,,,AMTE3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Anisocoma,acaulis,,,ANAC,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Asclepias,erosa,,,ASER,Desert SW provisional,"20, 21, 23, 25, 27, 28, 32, 34, 35",SNDO
Aslcepias,subulata,,,ASSU,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Astragalus,didymocarpus,,,ASDI3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Astragalus,layneae,,,ASLA8,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Atriplex,canescens,,,ATCA2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Atriplex,hymenelytra,,,ATHY,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Atriplex,lentiformis,,,ATLE,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Atriplex,polycarpa,,,ATPO,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Baileya,multiradiata,,,BAMU,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Bouteloua,aristidoides,,,BOAR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Bouteloua,barbata,,,BOBA2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Chaenactis,fremontii,,,CHFR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Chilopsis,linearis,,,CHLI2,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Chylismia,brevipes,,,CABR23,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Chylismia,claviformis,,,CACL4,Desert SW provisional,"24, 26, 28, 29",SNDO
Coleogyne,ramosissima,,,CORA,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Cryptantha,micrantha,,,CRMI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Cryptantha,nevadensis,,,CRNE2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Dasyochloa,pulchella,,,DAPU7,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Descurainia,pinnata,,,DEPI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Echinocereus,engelmannii,,,ECEN,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Encelia,actonii,,,ENAC,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Encelia,farinosa,,,ENFA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Ephedra,nevadensis,,,EPNE,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Ephedra,virginensis,,,,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Eremothera,refracta,,,CARE2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Ericameria,cooperi,,,ERCO23,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Eriogonum,fasciculatum,,,ERFA2,Desert SW provisional,"24, 26, 28, 29",SNDO
Eriogonum,inflatum,,,ERIN4,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Euphorbia,albomarginata,,,EUAL4,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Euphorbia,polycarpa,,,EUPO3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Fraxinus,anomala,,,FRAN2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Fraxinus,velutina,,,FRVE2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Gutierrezia,microcephala,,,GUMI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Pleuraphis,jamesii,,,PLJA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Hilaria,rigida,,,HIRO,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Krameria,bicolor,,,KRGR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Krameria,erecta,,,KRER,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Larrea,tridentata,,,LATR2,Desert SW provisional,"20, 21, 25, 27, 28, 32, 34, 35",SNDO
Lepidium,fremontii,,,LEFR2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Lepidium,lasiocarpum,,,LELA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Lomatium,parryi,,,LOPA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Lupinus,arizonicus,,,LUAR4,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Lupinus,odoratus,,,LUOD,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Lycium,andersonii,,,LYAN,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Lycium,cooperi,,,LYCO2,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Lycium,pallidum,,,LYPA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Malacothrix,glabrata,,,MAGL3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Mirabilis,laevis,,,MILA6,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Menodora,spinescens,,,MESP2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Mentzelia,affinis,,,MEAF2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Muhlenbergia,porteri,,,MUPO2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Nicotiana,attenuata,,,NIAT,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Oenothera,caespitosa,,,OECA10,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Oenothera,deltoides,,,OEDE2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Oenothera,primiveris,,,OEPR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Opuntia,basilaris,,,OPBA2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Pectis,papposa,,,PEPA2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Penstemon,palmeri,,,PEPA8,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Peritoma,arborea,,,CLIS,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Phacelia,crenulata,,,PHCR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Phacelia,distans,,,PHDI,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Pleuraphis,jamesii,,,PLJA,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Plantago,ovata,,,PLOV,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Prosopis,glandulosa,,,PRGL2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Prosopis,pubescens,,,PRPU,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Psorothamnus,fremontii,,,PSFR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Salazaria,mexicana,,,SAME,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Salvia,columbariae,,,SACO6,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Senna,armata,,,SEAR8,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Sphaeralcea,ambigua,,,SPAM2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Sphaeralcea,angustifolia,,,SPAN3,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Stephanomeria,exigua,,,STEX,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Stephanomeria,parryi,,,STPA3,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Stephanomeria,pauciflora,,,STPA4,Desert SW provisional,"20, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35",SNDO
Vulpia,octoflora,,,VUOC,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Xylorhiza,tortifolia,,,XYTO2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Yucca,brevifolia,,,YUBR,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Yucca,jaegeriana,,,YUBRJ,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Yucca,schidigera,,,YUSC2,Desert SW provisional,"26, 27, 28, 29, 32, 34, 35",SNDO
Achnatherum,hymenoides,,,ACHY,Empirical Seed Transfer Zone ,"M1L2H3, M1H2H3 ",ARIZONA STRIP
Aristida,purpurea,,,ARPU9,Desert SW provisional,5,ARIZONA STRIP
Artemisia,tridentata,,,ARTR,Desert SW provisional,5,ARIZONA STRIP
Atriplex,canescens,,,ATCA2,Desert SW provisional,5,ARIZONA STRIP
Bouteloua,curtipendula,,,BOCU,Desert SW provisional,5,ARIZONA STRIP
Bouteloua,eriopoda,,,BOER4,Desert SW provisional,5,ARIZONA STRIP
Bouteloua,gracilis,,,BOGR2,Climate Similarity Zone ,"3, 6 ",ARIZONA STRIP
Cleome,lutea,,,CLLU2,Genetic Seed Transfer Zone ,4,ARIZONA STRIP
Purshia,stansburiana,,,PUST,Desert SW provisional,5,ARIZONA STRIP
Elymus,elymoides,,,ELEL5,Climate Similarity Zone ,"1, 2, 5, 6 ",ARIZONA STRIP
Elymus,trachycaulus,,,ELTR7,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,inflatum,,,ERIN4,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,racemosum,,,ERRA3,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,ovalifolium,,,EROV,Desert SW provisional,5,ARIZONA STRIP
Festuca,idahoensis,,,FEID,Desert SW provisional,5,ARIZONA STRIP
Grayia,spinosa,,,GRSP,Desert SW provisional,5,ARIZONA STRIP
Heliomeris,multiflora,,,HEMU3,Climate Similarity Zone ,3,ARIZONA STRIP
Hesperostipa,comata,,,HECO26,Desert SW provisional,5,ARIZONA STRIP
Hilaria,jamesii,,,PLJA,Genetic Seed Transfer Zone ,8,ARIZONA STRIP
Hilaria,rigida,,,PLRI3,Desert SW provisional,5,ARIZONA STRIP
Krascheninnikovia,lanata,,,KRLA2,Desert SW provisional,5,ARIZONA STRIP
Leymus,cinereus,,,LECI4,Desert SW provisional,5,ARIZONA STRIP
Lupinus,argenteus,,,LUAR3,Desert SW provisional,5,ARIZONA STRIP
Lupinus,caudatus,,,LUCA,Desert SW provisional,5,ARIZONA STRIP
Machaeranthera,canescens,,,DICA18,Climate Similarity Zone ,1,ARIZONA STRIP
Muhlenbergia,porteri,,,MUPO2,Desert SW provisional,5,ARIZONA STRIP
Muhlenbergia,richardsonis,,,MURI,Desert SW provisional,5,ARIZONA STRIP
Muhlenbergia,torreyi,,,MUTO2,Desert SW provisional,5,ARIZONA STRIP
Nicotiana,attenuata,,,NIAT,Desert SW provisional,5,ARIZONA STRIP
Pascopyrum,smithii,,,PASM,Desert SW provisional,5,ARIZONA STRIP
Penstemon,palmeri,,,PEPA8,Desert SW provisional,5,ARIZONA STRIP
Penstemon,parryi,,,PEPA24,Desert SW provisional,5,ARIZONA STRIP
Poa,secunda,,,POSE,Desert SW provisional,5,ARIZONA STRIP
Purshia,glandulosa,,,PUGL2,Desert SW provisional,5,ARIZONA STRIP
Purshia,stansburiana,,,PUST,Desert SW provisional,5,ARIZONA STRIP
Purshia,tridentata,,,PUTR2,Desert SW provisional,5,ARIZONA STRIP
Ribes,cereum,,,RICE,Desert SW provisional,5,ARIZONA STRIP
Scleropogon,brevifolius,,,SCBR2,Desert SW provisional,5,ARIZONA STRIP
Sphaeralcea,ambigua,,,SPAM2,Desert SW provisional,5,ARIZONA STRIP
Sphaeralcea,rusbyi,,,SPRU2,Desert SW provisional,5,ARIZONA STRIP
Sporobolus,cryptandrus,,,SPCO4,Genetic Seed Transfer Zone ,"2, 3 ",ARIZONA STRIP
